ID	Name	numcommits	percent	norm
2	2	GitHub	507	46.7712177121771	1
1	1	Airbyte	348	32.1033210332103	0.685770750988142
4	4	Octavia Squidington III	28	2.5830258302583	0.0533596837944664
12	12	Augustin	15	1.38376383763838	0.0276679841897233
17	17	btkcodedev	14	1.29151291512915	0.0256916996047431
21	21	Marius Posta	12	1.1070110701107	0.0217391304347826
5	5	Artem Inzhyyants	10	0.922509225092251	0.0177865612648221
6	6	Maxime Carbonneau-Leclerc	9	0.830258302583026	0.0158102766798419
9	9	artem1205	8	0.738007380073801	0.0138339920948617
32	32	Johnny Schmidt	8	0.738007380073801	0.0138339920948617
15	15	Xiaohan Song	7	0.645756457564576	0.0118577075098814
23	23	Anatolii Yatsuk	7	0.645756457564576	0.0118577075098814
3	3	tolik0	6	0.55350553505535	0.0098814229249012
25	25	Christo Grabowski	6	0.55350553505535	0.0098814229249012
22	22	Evan Tahler	5	0.461254612546125	0.00790513833992096
35	35	Yue Li	5	0.461254612546125	0.00790513833992096
7	7	jdpgrailsdev	4	0.3690036900369	0.00592885375494072
10	10	Erick Corona	4	0.3690036900369	0.00592885375494072
20	20	Natik Gadzhi	4	0.3690036900369	0.00592885375494072
26	26	Edward Gao	4	0.3690036900369	0.00592885375494072
