ID	Name	total	percent	norm
2	2	GitHub	54121	49.9612281446744	1
22	22	Serhii Lazebnyi	13004	12.0045049203331	0.240051751224471
1	1	Airbyte	12663	11.6897143806658	0.233749191387118
9	9	btkcodedev	9498	8.76797814005871	0.175251825154792
7	7	Tope Folorunso	5677	5.24066244484242	0.104629886332132
17	17	Stephane Geneix	3460	3.19406236729871	0.0636540060992515
20	20	Akash Kulkarni	2589	2.39000793899895	0.0475556787727567
24	24	Aaron Steers (AJ)	2199	2.02998356811846	0.040347472507162
18	18	Johnny Schmidt	1835	1.69396082196333	0.0336198133259403
11	11	Gireesh Sreepathi	710	0.655428982884995	0.0128269106367249
12	12	Marius Posta	613	0.56588445987113	0.0110341003604103
6	6	Erick Corona	482	0.444953196831786	0.00861288235837723
14	14	letiescanciano	275	0.253863338441371	0.00478698826356159
10	10	Natalie Kwong	221	0.204013810165611	0.00378892893447925
4	4	Artem Inzhyyants	216	0.199398113103041	0.0036965160336383
19	19	Patrick Nilan	148	0.136624633052084	0.00243970058220127
23	23	Aldo Gonzalez	133	0.122777541864372	0.0021624618796784
25	25	ehearty	124	0.114469287151746	0.00199611865816468
26	26	Ben Church	73	0.0673891771135277	0.00105350706958691
21	21	Bryce Groff	66	0.0609272012259291	0.000924129008409574
