ID	Name	numcommits	percent	norm
2	2	GitHub	1586	49.8428661219359	1
6	6	huhuanming	505	15.8705216844752	0.317981072555205
7	7	Leon	186	5.84538026398492	0.116719242902208
4	4	hublot	173	5.43683218101823	0.108517350157729
8	8	morizon	153	4.80829666876178	0.0958990536277602
11	11	JellyWang	148	4.65116279069767	0.0927444794952681
5	5	kwoktung	138	4.33689503456945	0.0864353312302839
3	3	weatherstar	130	4.08548082966688	0.0813880126182965
10	10	Franco	52	1.63419233186675	0.0321766561514195
13	13	幻想	45	1.414204902577	0.0277602523659306
9	9	ByteZhang	36	1.1313639220616	0.0220820189274448
12	12	dependabotbot	10	0.314267756128221	0.00567823343848576
14	14	loatheb	9	0.282840980515399	0.00504731861198734
15	15	joefu	4	0.125707102451288	0.00189274447949523
1	1	joe	3	0.0942803268384664	0.0012618296529968
16	16	wabiwabo	1	0.0314267756128221	-4.04407410337093e-17
17	17	limichange	1	0.0314267756128221	-4.04407410337093e-17
18	18	Kahn	1	0.0314267756128221	-4.04407410337093e-17
19	19	Yishi Wang	1	0.0314267756128221	-4.04407410337093e-17
NA	NA	NA	NA	NA	NA
