ID	Name	total	percent	norm
2	2	GitHub	800472	41.8162195143611	1
6	6	huhuanming	447155	23.359132657912	0.558610307758615
8	8	morizon	222265	11.6110020467418	0.277661109480115
10	10	Franco	114557	5.9843950305653	0.143104320613643
3	3	weatherstar	87101	4.55010860582303	0.108804257525313
7	7	Leon	81238	4.24382869220619	0.10147976488666
5	5	kwoktung	44292	2.31378985739674	0.0553240928710187
4	4	hublot	34966	1.82660471764053	0.0436733648566771
11	11	JellyWang	31309	1.63556503759673	0.0391047703522328
14	14	loatheb	23182	1.21101500212615	0.0289519216955145
9	9	ByteZhang	16346	0.853906100627814	0.0204118855915
13	13	幻想	9723	0.507924202643107	0.0121379448195736
1	1	joe	911	0.0475901417883236	0.00112934356905051
17	17	limichange	327	0.0170823011688055	0.000399767635062137
12	12	dependabotbot	215	0.0112314824198568	0.000259848962790395
15	15	joefu	132	0.00689560781126095	0.000156159232446157
16	16	wabiwabo	53	0.0027686910151275	5.74665975401963e-05
19	19	Yishi Wang	11	0.000574633984271745	4.99709543829304e-06
18	18	Kahn	7	0.000365676171809293	1.65425534598765e-17
NA	NA	NA	NA	NA	NA
