99843814	99843815	99843816	99843817	99843818	99843819	99843820	99843821	99843822	99843823	99843824	99843825	99843826	99843828	99843829	99843830	99843831	99843832	99843833	99843834	99843835	99843836	99843837	99843838	99843839	99843840	99843841
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	File_Level	None	File_Level	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	File_Level	None	File_Level	onCreate	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	File_Level	None	None	File_Level	None	plugins	None	None	None	None	None	None	None	plugins	None	None	None	None	None	browser	None	None	None	None	None	None
None	None	None	None	None	File_Level	File_Level	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None
None	File_Level	None	None	File_Level	File_Level	check	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	File_Level	None	File_Level	visitMethodInsn	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	plugins	None	plugins	None	None	None	None	plugins	None	None	plugins	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	@typescript-eslint/no-restricted-imports	File_Level	File_Level	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	browser	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
