99819403	99819405	99819409	99819412	99819414	99819418	99819427	99819431	99819441	99819445	99819449	99819455	99819456	99819457	99819458	99819459	99819460	99819461	99819462	99819463	99819464	99819465	99819466	99819467	99819468	99819469	99819470	99819471	99819472	99819473	99819474	99819475	99819476	99819477	99819478	99819479	99819480	99819481	99819482	99819483	99819484	99819485	99819486	99819487	99819488	99819489	99819490	99819491	99819492	99819493	99819494	99819495	99819496	99819497	99819498	99819499	99819500	99819501	99819502	99819503	99819504	99819505	99819506	99819507	99819508	99819509	99819510	99819511	99819512	99819513	99819514	99819515	99819516	99819517	99819518	99819519	99819520	99819521	99819522	99819523	99819524	99819525	99819526	99819527	99819528	99819529	99819530	99819531	99819532	99819533	99819534	99819535	99819536	99819537	99819538	99819539	99819540	99819541	99819542	99819543	99819544	99819545	99819546	99819547	99819548	99819549	99819550	99819551	99819552	99819553	99819554	99819555	99819556	99819557	99819558	99819559	99819560	99819561	99819562
File_Level	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	test_count_message_tokens_invalid_model	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	benchmark_entrepeneur_gpt_with_difficult_user	None	File_Level	File_Level	None	None	None	main	None	None	None	None	__init__	None	File_Level	create_config	test_write_file	None	None	None	None	None	None	None	None	None	None	File_Level	None	File_Level	File_Level	__init__	None	None	validate_json	None	None	None	None	None	None	None	None	__init__	None	None	None	None	None	None	None	None	start_interaction_loop	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	File_Level	None	None	None	None	None	File_Level	None	None	execute_command	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	download_file	None	scrape_text_with_selenium	None	None	None	None	main	None	None	None	None	scrape_text_with_selenium	None	None	create_config	scrape_text_with_selenium	None	None	None	None	None	None	None	None	None	None	__init__	None	None	None	__init__	None	None	None	None	None	None	None	None	None	None	None	File_Level	None	execute_command	None	None	None	None	None	None	None	None	scrape_text_with_selenium	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	__init__	None	None	None	None	None	__init__	None	None	None	None	None	None	None	None	get_prompt	None	None	None	scrape_text_with_selenium	None	None	None	None	None	None	None	None	None	None	None	None	None	get_prompt	None	None	None	None	None	None	None	scrape_text_with_selenium	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	get_prompt	None	get_prompt	None	None	None	None	main	None	None	None	None	__init__	None	get_prompt	None	get_prompt	None	None	None	None	None	None	None	None	None	None	None	None	None	None	__init__	None	None	None	None	None	None	None	None	None	None	None	__init__	None	None	None	None	None	None	None	None	None	None	None	None	get_prompt	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	__init__	None	None	None	None	None	None	None	None	None	None	None	None	None	None	get_prompt	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	get_prompt	None	File_Level	None	None	None	None	None	None	None	None	None
None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	safe_path_join	None	search_files	None	None	None	None	__init__	None	None	None	None	safe_path_join	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	generate_image_with_sd_webui	None	None	None	None	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	__init__	None	None	None	None	None	None	None	None	None	None	None	None	None	None	execute_python_file	None	None	None	search_files	None	None	execute_python_file	None	None	None	execute_python_file	None	None	None	None	None	None	execute_shell_popen	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	execute_command	None	get_prompt	None	None	None	None	None	File_Level	None	None	None	None	None	send_tweet	None	None	None	None	None	execute_command	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	execute_command	None	None	None	None	None	None	None	None	None	None	get_prompt	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	execute_command	None	None	None	None	None	execute_command	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	get_prompt	None	None	None	None	None	None	None	None	None	None	None
count_message_tokens	get_prompt	None	get_prompt	test_valid_url	None	construct_prompt	None	get_prompt	None	None	None	None	execute_python_file	None	get_prompt	main	get_prompt	None	None	None	execute_command	None	None	None	chat_with_ai	None	None	__init__	None	File_Level	File_Level	__init__	None	None	File_Level	print_assistant_thoughts	None	None	None	None	None	None	None	__init__	None	execute_command	None	None	None	None	add	None	start_interaction_loop	None	None	None	get_prompt	None	create_chat_completion	None	execute_command	None	test_generate_prompt_string	None	None	None	None	None	File_Level	None	None	None	None	summarize_text	None	check_local_file_access	None	None	None	__init__	None	None	execute_command	None	None	__init__	check_openai_api_key	None	get_prompt	None	None	None	google_official_search	None	None	execute_python_file	None	None	__init__	execute_python_file	None	google_official_search	None	File_Level	None	None	get_prompt	None	None	None	None	None	None	None	None	None	None	None
count_message_tokens	create_chat_completion	None	create_chat_completion	None	None	construct_prompt	None	create_config	None	None	None	None	generate_image_with_dalle	None	execute_command	create_config	create_chat_completion	None	None	None	execute_command	None	None	None	chat_with_ai	split_file	None	execute_command	None	None	None	generate_image_with_sd_webui	None	None	File_Level	print_assistant_thoughts	None	None	load_azure_config	append_to_file	None	None	None	__init__	None	execute_command	None	None	None	None	create_chat_completion	None	start_interaction_loop	None	create_message	None	get_prompt	load_azure_config	create_chat_completion	None	execute_command	None	None	None	None	None	None	None	File_Level	None	None	None	None	split_text	None	check_local_file_access	clone_repository	_speech	None	execute_command	None	None	execute_command	None	None	__init__	check_openai_api_key	None	execute_python_file	None	None	None	create_chat_completion	None	None	execute_python_file	None	None	__init__	execute_python_file	None	google_search	None	File_Level	None	None	execute_command	None	clone_repository	None	None	File_Level	None	None	scrape_text_with_selenium	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
