ID	Name	numcommits	percent	norm
3	3	GitHub	95	42.0353982300885	1
8	8	Reinier van der Leer	23	10.1769911504425	0.234042553191489
1	1	merwanehamadi	22	9.73451327433628	0.223404255319149
26	26	Auto-GPT-Bot	16	7.07964601769912	0.159574468085106
13	13	k-boikov	9	3.98230088495575	0.0851063829787233
14	14	Nicholas Tindle	5	2.21238938053097	0.0425531914893616
17	17	kinance	5	2.21238938053097	0.0425531914893616
6	6	Richard Beales	4	1.76991150442478	0.0319148936170212
7	7	Pi	4	1.76991150442478	0.0319148936170212
10	10	Toran Bruce Richards	4	1.76991150442478	0.0319148936170212
15	15	Merwane Hamadi	4	1.76991150442478	0.0319148936170212
19	19	Boostrix	4	1.76991150442478	0.0319148936170212
25	25	Luke K (pr-0f3t)	4	1.76991150442478	0.0319148936170212
33	33	GoCodeo	2	0.884955752212389	0.0106382978723404
2	2	WladBlank	1	0.442477876106195	-7.11236625150491e-17
4	4	Robin Richtsfeld	1	0.442477876106195	-7.11236625150491e-17
5	5	Kory Becker	1	0.442477876106195	-7.11236625150491e-17
9	9	Media	1	0.442477876106195	-7.11236625150491e-17
11	11	Zorinik	1	0.442477876106195	-7.11236625150491e-17
12	12	Omri Grossman	1	0.442477876106195	-7.11236625150491e-17
