99819405	99819407	99819408	99819409	99819424	99819441	99819457	99819484	99819564	99819565	99819571	99819584	99819589	99819604	99819639	99819646	99819647	99819651	99819653	99819657	99819659	99819661	99819662	99819663	99819664	99819665	99819666	99819667	99819668	99819669	99819670	99819671	99819672	99819673	99819674	99819675	99819676	99819677	99819678	99819679
bootstrap_agent	execute_python_code	get_memory	None	None	None	build_config_from_env	construct_main_ai_config	File_Level	None	ingest_file	ingest_file	None	scan_plugins	None	scan_plugins	None	execute_python_code	None	None	None	None	build_config_from_env	None	None	File_Level	check_openai_api_key	_sanitize_path	None	None	run_auto_gpt	None	None	summarize_text	None	build_config_from_env	check_openai_api_key	None	None	None
None	None	None	None	None	None	execute_python_file	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
ingest_file	None	get_memory	None	None	None	File_Level	run_auto_gpt	File_Level	None	ingest_file	mock_costs	None	None	None	run_auto_gpt	None	File_Level	None	None	None	None	File_Level	None	None	File_Level	None	None	None	None	run_auto_gpt	None	None	summarize_text	None	get_azure_credentials	check_openai_api_key	None	None	None
None	None	None	None	None	None	None	None	File_Level	None	run_auto_gpt	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	run_auto_gpt	None	None	None	None	None	None	None	None	None
create_chat_completion	None	None	None	None	None	File_Level	None	build_prompt	None	None	meter_api	None	None	None	File_Level	None	File_Level	None	None	None	None	create_chat_completion	None	None	File_Level	None	None	None	None	None	None	None	None	None	build_config_from_env	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	File_Level	None	test_execute_command_plugin	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	execute_python_code	None	None	None	None	execute_python_file	None	File_Level	None	ingest_file	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
test_message_history_batch_summary	None	None	None	None	None	test_message_history_batch_summary	None	File_Level	None	None	None	update_running_summary	None	None	None	None	test_message_history_batch_summary	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	scan_plugins	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
File_Level	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	File_Level	run_auto_gpt	create_chat_completion	None	run_auto_gpt	update_cost	None	None	None	run_auto_gpt	None	File_Level	None	None	None	None	create_chat_completion	None	None	File_Level	None	None	None	None	run_auto_gpt	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
build_config_from_env	execute_python_code	None	None	None	None	File_Level	File_Level	File_Level	None	File_Level	execute_python_code	None	scan_plugins	None	scan_plugins	None	scan_plugins	None	None	None	None	build_config_from_env	None	None	File_Level	File_Level	None	None	None	_get_voice_engine	None	None	summarize_text	None	build_config_from_env	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	print_assistant_thoughts	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	test_azure_config	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	get_azure_credentials	None	None	None	None
File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	retry_api	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
check_openai_api_key	None	None	None	None	None	File_Level	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	File_Level	check_openai_api_key	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	typewriter_log	None	None	None	run_auto_gpt	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	print_assistant_thoughts	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	build_config_from_env	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
