ID	Name	total	percent	norm
4	4	GitHub	26502	49.2675490779298	1
16	16	Luke	7008	13.0279595478882	0.264377358490566
9	9	James Collins	5818	10.8157346817371	0.219471698113207
1	1	merwanehamadi	4837	8.99204342653183	0.182452830188679
18	18	Erik Peterson	4085	7.59406603212374	0.154075471698113
7	7	Reinier van der Leer	2958	5.49895895300416	0.111547169811321
11	11	lengweiping1983	631	1.17303688280785	0.0237358490566037
24	24	javableu	328	0.609756097560976	0.0123018867924528
13	13	kinance	232	0.431290898274836	0.00867924528301879
8	8	Steve	210	0.39039262343843	0.00784905660377351
12	12	Merwane Hamadi	202	0.375520523497918	0.00754716981132068
23	23	Jayden	127	0.236094586555622	0.0047169811320754
17	17	Auto-GPT-Bot	116	0.215645449137418	0.00430188679245275
36	36	Ian	114	0.21192742415229	0.00422641509433955
19	19	Benny van der Lans	110	0.204491374182035	0.00407547169811313
32	32	Vasek Mlejnsky	67	0.124553837001785	0.00245283018867917
2	2	WladBlank	58	0.107822724568709	0.00211320754716974
20	20	Stefan Ayala	54	0.100386674598453	0.00196226415094332
26	26	uta	51	0.0948096371207614	0.00184905660377351
30	30	NeonN3mesis	51	0.0948096371207614	0.00184905660377351
