ID	Name	numcommits	percent	norm
1	1	Martin Donadieu	1011	56.9256756756757	1
2	2	github-actionsbot	432	24.3243243243243	0.423880597014925
7	7	Jordan Lorho	235	13.231981981982	0.227860696517413
5	5	GitHub	44	2.47747747747748	0.0378109452736318
3	3	WcaleNieWolny	24	1.35135135135135	0.017910447761194
6	6	renovatebot	18	1.01351351351351	0.0119402985074626
4	4	autofix-cibot	6	0.337837837837838	-6.15826833971767e-17
8	8	jonthan kabuya	6	0.337837837837838	-6.15826833971767e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
