ID	Name	total	percent	norm
1	1	Martin Donadieu	237113	80.4825975683437	1
7	7	Jordan Lorho	40322	13.686382860285	0.169773828960525
3	3	WcaleNieWolny	7856	2.66653994718513	0.032805558719672
5	5	GitHub	3691	1.25282573129587	0.0152341657068847
8	8	jonthan kabuya	3212	1.09024011078903	0.0132133500398679
2	2	github-actionsbot	1926	0.653736753854196	0.00778794513844068
6	6	renovatebot	414	0.14052285363221	0.00140908649850447
4	4	autofix-cibot	80	0.0271541746149199	4.45607092891542e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
