ID	Name	numcommits	percent	norm
1	1	Nishad	17	25.7575757575758	1
5	5	daveey	14	21.2121212121212	0.8
4	4	relh	12	18.1818181818182	0.666666666666667
2	2	GitHub	7	10.6060606060606	0.333333333333333
3	3	noahfarr	6	9.09090909090909	0.266666666666667
6	6	yatharth	4	6.06060606060606	0.133333333333333
7	7	berekuk	4	6.06060606060606	0.133333333333333
8	8	treeform	2	3.03030303030303	2.77555756156289e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
