ID	Name	total	percent	norm
5	5	daveey	5546	39.283184587052	1
1	1	Nishad	4441	31.4562969259102	0.79981884057971
4	4	relh	3384	23.9694007649809	0.608333333333333
3	3	noahfarr	352	2.49327100155829	0.0590579710144928
2	2	GitHub	221	1.56537753222836	0.0353260869565218
8	8	treeform	114	0.807479813004675	0.0159420289855073
7	7	berekuk	34	0.240827312650517	0.00144927536231889
6	6	yatharth	26	0.184162062615101	4.59701721133854e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
