ID	Name	total	percent	norm
2	2	GitHub	3924880	49.9997452164386	1
7	7	Lucas Gomide	3262995	41.5678743407475	0.83136163722796
1	1	Lorenze Jay	352529	4.49092970521542	0.0898185879917795
3	3	Greyson LaLonde	161738	2.06040918239955	0.041207905060998
11	11	João Moura	48588	0.61897118397921	0.0123789834996144
12	12	Vini Brasil	37973	0.483744808784937	0.00967444083612269
17	17	iris-clawd	14680	0.187011134041632	0.00373973407581065
16	16	alex-clawd	12045	0.153443399831843	0.00306837562849076
4	4	Heitor Carvalho	8424	0.107314836046778	0.00214579918152859
6	6	Rip&Tear	5737	0.0730846645774415	0.00146119191475495
14	14	Sampson	4317	0.0549950317205534	0.00109939722967174
18	18	Tiago Freire	2596	0.0330709062651278	0.000660912262750476
29	29	Jesse Miller	2012	0.0256312262732808	0.000512117828885271
9	9	Matt Aitchison	1892	0.0241025249050931	0.000481543630145845
10	10	Mike Plachta	1683	0.0214400366888328	0.000428293567341345
21	21	Mani	1436	0.0182934597059798	0.000365361674936027
37	37	Kunal Karmakar	1057	0.0134653112181202	0.000268798163917341
19	19	Gui Vieira	985	0.0125480903972076	0.000250453644673685
13	13	Thiago Moretto	834	0.0106244745089047	0.000211981111259908
32	32	Mislav Ivanda	690	0.00879003286707942	0.000175292072772597
