ID	Name	numcommits	percent	norm
2	2	GitHub	190	48.9690721649485	1
3	3	Greyson LaLonde	88	22.680412371134	0.46031746031746
1	1	Lorenze Jay	37	9.5360824742268	0.19047619047619
13	13	João Moura	20	5.15463917525773	0.1005291005291
6	6	Lucas Gomide	8	2.06185567010309	0.037037037037037
4	4	Heitor Carvalho	7	1.80412371134021	0.0317460317460317
12	12	Vidit Ostwal	5	1.28865979381443	0.0211640211640211
14	14	Vini Brasil	5	1.28865979381443	0.0211640211640211
10	10	Mike Plachta	4	1.03092783505155	0.0158730158730158
5	5	Rip&Tear	3	0.77319587628866	0.0105820105820105
7	7	dependabotbot	3	0.77319587628866	0.0105820105820105
9	9	Matt Aitchison	3	0.77319587628866	0.0105820105820105
8	8	Gil Feig	2	0.515463917525773	0.00529100529100524
15	15	Thiago Moretto	2	0.515463917525773	0.00529100529100524
20	20	nicoferdi96	2	0.515463917525773	0.00529100529100524
11	11	Alex Larionov	1	0.257731958762887	-5.55111512312578e-17
16	16	GininDenis	1	0.257731958762887	-5.55111512312578e-17
17	17	Koushiv	1	0.257731958762887	-5.55111512312578e-17
18	18	Sampson	1	0.257731958762887	-5.55111512312578e-17
19	19	Anaisdg	1	0.257731958762887	-5.55111512312578e-17
