ID	Name	total	percent	norm
1	1	GitHub	11791	50	1
2	2	Rich Chiodo	6800	28.8355525400729	0.576639239969463
6	6	Jordan Borean	4774	20.2442540921041	0.404784120790567
3	3	rabbit	173	0.733610380798914	0.0145050470777843
5	5	Conrad Irwin	42	0.178101942159274	0.00339299346848747
4	4	MichaelSpece	2	0.00848104486472733	-9.81202966099382e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
NA.12	NA	NA	NA	NA	NA
NA.13	NA	NA	NA	NA	NA
