ID	Name	numcommits	percent	norm
1	1	GitHub	17	50	1
5	5	Stella Huang	5	14.7058823529412	0.25
4	4	Philip DePetro	4	11.7647058823529	0.1875
2	2	Rich Chiodo	3	8.82352941176471	0.125
3	3	Copilot	2	5.88235294117647	0.0625
6	6	Max Bachmann	1	2.94117647058824	0
7	7	Mathias Fußenegger	1	2.94117647058824	0
8	8	Sam Brightman	1	2.94117647058824	0
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
