"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"v1.8.10-v1.8.11","2024-12 -- 2024-12",9,8,1,0,0.8889,0.1111,0,0,0,0,0,2,4,4,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0.3333,0.5556,0.5,1,0.3311,0.6027,0.5972,0.0322,0.0322,0,0.2778,4,0,0,1,0,0
"v1.8.11-v1.8.12","2024-12 -- 2025-01",37,34,3,0,0.9189,0.0811,0,1,0.027,0,0,4,18,18,0,0,0,12,0,0,1,1,0.2174,0.5,0.0909,0.0909,0,0.4,0.3243,0.5135,0.4706,1,0.1199,0.8017,0.8123,0.103,0.103,0,0.0766,18,0,0,1,0,0
"v1.8.12-v1.8.13","2025-01 -- 2025-03",41,37,3,1,0.9024,0.0732,0.0244,2,0.0488,0,0,4,19,19,0,0,0,11,1,0,1,1,0.7179,0.2857,0.7568,0.7568,0,0.2857,0.2683,0.5366,0.5,1,0.0726,0.7326,0.7402,0.0648,0.0648,0,0.0598,19,0,0,1,0,0
"v1.8.13-v1.8.14","2025-03 -- 2025-04",26,21,5,0,0.8077,0.1923,0,1,0.0385,0,0,5,10,10,0,0,0,3,0,0,1,1,0.8955,0.4444,0.8276,0.8276,0,0.3,0.1154,0.6154,0.5238,1,0.0621,0.4152,0.6092,0.2234,0.2234,0,0.1108,10,0,0,1,0,0
"v1.8.14-v1.8.15","2025-04 -- 2025-07",43,37,6,0,0.8605,0.1395,0,2,0.0465,1,0.1667,10,18,16,2,2,0,10,0,2,0,0.5,0.5507,0.5455,0.4286,0.4615,0,0.1053,0.3023,0.5814,0.5676,0.6667,0.036,0.4708,0.6501,0.2162,0.0955,-0.4986,0.0642,16,2,0,0.8889,0.1111,0
"v1.8.15-v1.8.16","2025-07 -- 2025-08",22,18,4,0,0.8182,0.1818,0,1,0.0455,0,0,6,11,11,0,0,0,0,0,0,1,1,1.1385,0.8,1.0345,0.963,2,0.2973,0,0.5,0.3889,1,0.033,0.1499,0.3203,0.4721,0.4721,0,0.1082,11,0,0,1,0,0
"v1.8.16-v1.8.17","2025-08 -- 2025-09",18,15,2,1,0.8333,0.1111,0.0556,1,0.0556,0,0,5,8,8,0,0,0,0,0,0,1,1,0.85,0.8571,0.7368,0.7368,0,0,0,0.5556,0.5,1,0.0724,0.3897,0.5229,0.3671,0.3671,0,0.1242,8,0,0,1,0,0
"v1.8.17-v1.8.18","2025-09 -- 2025-12",29,23,5,1,0.7931,0.1724,0.0345,3,0.1034,0,0,8,13,13,0,0,0,3,0,0,1,1,0.5957,0.2222,0.5714,0.5714,0,0,0.1034,0.5517,0.4583,1,0.043,0.3399,0.5406,0.1583,0.1583,0,0.0665,13,0,0,1,0,0
"v1.8.18-v1.8.19","2025-12 -- 2025-12",4,2,2,0,0.5,0.5,0,0,0,0,0,2,1,1,0,0,0,2,0,0,1,1,1.5152,1,1.7143,1.7143,0,0.08,0.5,0.75,0.5,1,0.1389,0,0.1667,-0.5,-0.5,0,0.1667,1,0,0,1,0,0
"v1.8.19-v1.8.20","2025-12 -- 2026-01",16,10,5,1,0.625,0.3125,0.0625,0,0,0,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.625,0.4545,1,0.0889,0.3276,0.5083,0.2611,0.2611,0,0.1583,6,0,0,1,0,0
"v1.8.20-v1.8.21","2026-01 -- 2026-05",29,21,7,1,0.7241,0.2414,0.0345,1,0.0345,0,0,11,13,11,3,5,0,5,0,5,0,0.4,0.4,0.2857,0.4211,0.4706,0,0,0.3793,0.5517,0.5,0.625,0.1673,0.7102,0.6564,0.2325,0.1289,0.003,0.0936,10,2,1,0.7692,0.1538,0.0769
