ID	Name	numcommits	percent	norm
1	1	David Lord	243	47.2762645914397	1
10	10	GitHub	19	3.69649805447471	0.0743801652892561
3	3	Matt Cooper	17	3.30739299610895	0.0661157024793387
5	5	garenchan	15	2.91828793774319	0.0578512396694214
19	19	Grey Li	14	2.72373540856031	0.0537190082644627
2	2	Daniel Pope	12	2.33463035019455	0.0454545454545454
18	18	ThiefMaster	9	1.75097276264591	0.0330578512396693
31	31	David Baumgold	7	1.36186770428016	0.024793388429752
4	4	Jarek Piórkowski	6	1.16731517509728	0.0206611570247933
15	15	Hsiaoming Yang	6	1.16731517509728	0.0206611570247933
30	30	Gabriel Saldanha	6	1.16731517509728	0.0206611570247933
20	20	Dilan Coss	5	0.972762645914397	0.0165289256198346
14	14	Justin W. Flory	4	0.778210116731518	0.0123966942148759
29	29	Joshua Bronson	4	0.778210116731518	0.0123966942148759
40	40	Martin Michlmayr	4	0.778210116731518	0.0123966942148759
21	21	venus	3	0.583657587548638	0.00826446280991726
26	26	Anthony Plunkett	3	0.583657587548638	0.00826446280991726
36	36	Daniel Opitz	3	0.583657587548638	0.00826446280991726
59	59	EtiennePelletier	3	0.583657587548638	0.00826446280991726
72	72	Anthony Sottile	3	0.583657587548638	0.00826446280991726
