ID	Name	total	percent	norm
31	31	David Baumgold	14927	43.7382794186592	1
1	1	David Lord	12782	37.4531176746367	0.856291035776497
72	72	Anthony Sottile	1726	5.05743084857009	0.115570146053866
2	2	Daniel Pope	440	1.2892639474918	0.0294117647058823
3	3	Matt Cooper	433	1.26875293014534	0.028942784403055
19	19	Grey Li	300	0.879043600562588	0.0200321586493367
113	113	Igor Ghisi	299	0.876113455227379	0.0199651614632185
15	15	Hsiaoming Yang	246	0.720815752461322	0.0164143105989548
35	35	Jon S. Stumpf	228	0.668073136427567	0.0152083612488275
59	59	EtiennePelletier	172	0.503984997655884	0.0114565188262092
10	10	GitHub	155	0.454172526957337	0.0103175666622001
4	4	Jarek Piórkowski	150	0.439521800281294	0.00998258073160921
26	26	Anthony Plunkett	150	0.439521800281294	0.00998258073160921
103	103	Scott Crosby	136	0.398499765588373	0.00904462012595465
5	5	garenchan	133	0.389709329582747	0.0088436285676001
18	18	ThiefMaster	120	0.351617440225035	0.00797266514806372
64	64	dayiguizhen	90	0.263713080168776	0.00596274956451823
14	14	Justin W. Flory	86	0.251992498827942	0.0056947608200455
100	100	Lindsay Young	76	0.222691045475856	0.00502478895886367
12	12	Aditya	68	0.199249882794187	0.0044888114699182
