ID	Name	numcommits	percent	norm
1	1	David Lord	161	65.4471544715447	1
2	2	GitHub	28	11.3821138211382	0.16875
5	5	dependabotbot	16	6.50406504065041	0.0937499999999999
6	6	pre-commit-cibot	9	3.65853658536585	0.0499999999999999
4	4	Phil Jones	7	2.84552845528455	0.0374999999999999
12	12	Resistor-git	4	1.6260162601626	0.0187499999999999
3	3	Grey Li	2	0.813008130081301	0.00624999999999991
20	20	Catarina Bressan	2	0.813008130081301	0.00624999999999991
23	23	Arnout Engelen	2	0.813008130081301	0.00624999999999991
7	7	bre-17387639	1	0.40650406504065	-8.84708972748172e-17
8	8	Ben Huebscher	1	0.40650406504065	-8.84708972748172e-17
9	9	Éloi Rivard	1	0.40650406504065	-8.84708972748172e-17
10	10	Cody Scott	1	0.40650406504065	-8.84708972748172e-17
11	11	Daniel Isaac	1	0.40650406504065	-8.84708972748172e-17
13	13	David	1	0.40650406504065	-8.84708972748172e-17
14	14	Akinola Abiodun Emmanuel	1	0.40650406504065	-8.84708972748172e-17
15	15	Heisenberg	1	0.40650406504065	-8.84708972748172e-17
16	16	Tony Huang	1	0.40650406504065	-8.84708972748172e-17
17	17	lizard	1	0.40650406504065	-8.84708972748172e-17
18	18	Sviatoslav Sydorenko (Святослав Сидоренко)	1	0.40650406504065	-8.84708972748172e-17
