ID	Name	total	percent	norm
1	1	David Lord	8374	85.6762840188255	1
2	2	GitHub	925	9.46388377327604	0.110248447204969
5	5	dependabotbot	208	2.1280949457745	0.024605828953655
4	4	Phil Jones	124	1.26867198690403	0.0145723841376015
7	7	bre-17387639	41	0.419480253734397	0.00465838509316765
6	6	pre-commit-cibot	18	0.184162062615101	0.00191113234591491
16	16	Tony Huang	11	0.112543482709229	0.00107501194457711
18	18	Sviatoslav Sydorenko (Святослав Сидоренко)	8	0.0818498056067117	0.000716674629718061
19	19	Jake Tanis	8	0.0818498056067117	0.000716674629718061
9	9	Éloi Rivard	6	0.0613873542050338	0.000477783086478691
14	14	Akinola Abiodun Emmanuel	6	0.0613873542050338	0.000477783086478691
10	10	Cody Scott	5	0.0511561285041948	0.000358337314859007
17	17	lizard	5	0.0511561285041948	0.000358337314859007
3	3	Grey Li	4	0.0409249028033558	0.000238891543239322
8	8	Ben Huebscher	4	0.0409249028033558	0.000238891543239322
11	11	Daniel Isaac	4	0.0409249028033558	0.000238891543239322
12	12	Resistor-git	4	0.0409249028033558	0.000238891543239322
20	20	Catarina Bressan	4	0.0409249028033558	0.000238891543239322
23	23	Arnout Engelen	4	0.0409249028033558	0.000238891543239322
13	13	David	3	0.0306936771025169	0.000119445771619637
