ID	Name	numcommits	percent	norm
1	1	jxnl	96	47.5247524752475	1
2	2	GitHub	22	10.8910891089109	0.221052631578947
10	10	daveokpare	16	7.92079207920792	0.157894736842105
3	3	Cursor Agent	14	6.93069306930693	0.136842105263158
14	14	Jeongyoon Moon	12	5.94059405940594	0.11578947368421
12	12	devin-ai-integrationbot	11	5.44554455445545	0.105263157894737
5	5	NicolasPllr1	5	2.47524752475248	0.0421052631578947
11	11	Kelvin Tran	4	1.98019801980198	0.031578947368421
13	13	Brad Ito	4	1.98019801980198	0.031578947368421
16	16	Pavan Valavala	4	1.98019801980198	0.031578947368421
4	4	sapountzis	2	0.99009900990099	0.0105263157894737
17	17	len	2	0.99009900990099	0.0105263157894737
19	19	Sergio Bayona	2	0.99009900990099	0.0105263157894737
6	6	Mr Ruben	1	0.495049504950495	-3.29597460435593e-17
7	7	WJH	1	0.495049504950495	-3.29597460435593e-17
8	8	Joschka Braun	1	0.495049504950495	-3.29597460435593e-17
9	9	Ani	1	0.495049504950495	-3.29597460435593e-17
15	15	Lukas	1	0.495049504950495	-3.29597460435593e-17
18	18	Jon Buffington	1	0.495049504950495	-3.29597460435593e-17
20	20	rishiraj	1	0.495049504950495	-3.29597460435593e-17
