ID	Name	total	percent	norm
1	1	jxnl	49356	66.3066258262131	1
2	2	GitHub	19022	25.5548390563706	0.385391551008003
3	3	Cursor Agent	3042	4.08673222634209	0.0616148313240806
12	12	devin-ai-integrationbot	847	1.13789026814982	0.0171411204538547
10	10	daveokpare	706	0.948465796120157	0.0142842670448789
14	14	Jeongyoon Moon	684	0.918910204739642	0.0138385168675919
17	17	len	230	0.308990273523564	0.0046398541181238
20	20	rishiraj	164	0.220323499382019	0.00330260358626279
13	13	Brad Ito	88	0.118222365522059	0.00176273933745315
16	16	Pavan Valavala	80	0.107474877747327	0.00160064836389424
5	5	NicolasPllr1	65	0.0873233381697028	0.00129672778847128
4	4	sapountzis	60	0.0806061583104949	0.00119542092999696
19	19	Sergio Bayona	60	0.0806061583104949	0.00119542092999696
9	9	Ani	10	0.0134343597184158	0.000182352345253774
11	11	Kelvin Tran	10	0.0134343597184158	0.000182352345253774
7	7	WJH	4	0.00537374388736633	6.0784115084592e-05
6	6	Mr Ruben	2	0.00268687194368316	2.02613716948645e-05
8	8	Joschka Braun	2	0.00268687194368316	2.02613716948645e-05
15	15	Lukas	2	0.00268687194368316	2.02613716948645e-05
18	18	Jon Buffington	1	0.00134343597184158	7.69105916106905e-19
