ID	Name	numcommits	percent	norm
1	1	jxnl	45	47.8723404255319	1
2	2	GitHub	30	31.9148936170213	0.659090909090909
6	6	Mohd Waqar Azim	4	4.25531914893617	0.0681818181818182
10	10	Thomas Dybdahl Ahle	4	4.25531914893617	0.0681818181818182
3	3	Cursor Agent	2	2.12765957446809	0.0227272727272727
4	4	dependabotbot	2	2.12765957446809	0.0227272727272727
5	5	thecaptain789	1	1.06382978723404	2.08166817117217e-17
7	7	Kye Burchard	1	1.06382978723404	2.08166817117217e-17
8	8	JaredW	1	1.06382978723404	2.08166817117217e-17
9	9	Alexandre Teyar	1	1.06382978723404	2.08166817117217e-17
11	11	Bartlomiej Antosik	1	1.06382978723404	2.08166817117217e-17
12	12	drdraad	1	1.06382978723404	2.08166817117217e-17
13	13	aerosta	1	1.06382978723404	2.08166817117217e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
