ID	Name	total	percent	norm
2	2	GitHub	15337	47.6629995649201	1
1	1	jxnl	13920	43.2593697557337	0.907584947498859
10	10	Thomas Dybdahl Ahle	2176	6.76238423767792	0.141655253375073
11	11	Bartlomiej Antosik	203	0.630865808937784	0.0129785430118046
12	12	drdraad	199	0.618434955559699	0.0127176677753864
3	3	Cursor Agent	112	0.348063894586363	0.00704363138329097
4	4	dependabotbot	70	0.217539934116477	0.00430444140090005
13	13	aerosta	57	0.177139660637703	0.00345659688254095
6	6	Mohd Waqar Azim	42	0.130523960469886	0.00247831474597277
8	8	JaredW	35	0.108769967058239	0.00202178308224094
5	5	thecaptain789	18	0.0559388402013798	0.000913063327463667
7	7	Kye Burchard	5	0.0155385667226055	6.52188091045722e-05
9	9	Alexandre Teyar	4	0.0124308533780844	2.64545330086463e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
