ID	Name	total	percent	norm
2	2	GitHub	62200	33.8190517616355	1
4	4	Diwank Singh Tomer	51037	27.7495650282732	0.820415057915058
8	8	github-actionsbot	19533	10.6203784254023	0.313593951093951
7	7	creatorrr	12160	6.61157024793388	0.194980694980695
6	6	Dmitry Paramonov	11725	6.37505437146585	0.187982625482626
9	9	Philip	11073	6.02055241409308	0.177493564993565
1	1	Siddharth Balyan	7160	3.89299695519791	0.114543114543115
10	10	philipbalbas	4752	2.58373205741627	0.0758043758043758
3	3	sweep-aibot	1277	0.694323618964767	0.0199002574002574
11	11	alt-glitch	1164	0.632883862548934	0.0180823680823681
12	12	gitbook-combot	1025	0.557307525010874	0.0158462033462034
15	15	whiterabbit1983	432	0.234884732492388	0.00630630630630634
13	13	developers	171	0.0929752066115702	0.00210746460746465
14	14	gitbook-bot	171	0.0929752066115702	0.00210746460746465
5	5	dependabotbot	40	0.0217485863418878	3.82723366887383e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
