ID	Name	numcommits	percent	norm
2	2	Diwank Singh Tomer	98	42.6086956521739	1
1	1	GitHub	64	27.8260869565217	0.649484536082474
4	4	creatorrr	23	10	0.22680412371134
9	9	HamadaSalhab	18	7.82608695652174	0.175257731958763
5	5	github-actionsbot	9	3.91304347826087	0.0824742268041238
3	3	Dmitry Paramonov	2	0.869565217391304	0.0103092783505155
7	7	whiterabbit1983	2	0.869565217391304	0.0103092783505155
11	11	Vedant Sahai	2	0.869565217391304	0.0103092783505155
13	13	JeevaRamanathan	2	0.869565217391304	0.0103092783505155
6	6	Julep Developers	1	0.434782608695652	3.64291929955129e-17
8	8	ijindal1	1	0.434782608695652	3.64291929955129e-17
10	10	Ikko Eltociear Ashimine	1	0.434782608695652	3.64291929955129e-17
12	12	Shuvojit Das	1	0.434782608695652	3.64291929955129e-17
14	14	Vivek Gurudutt K	1	0.434782608695652	3.64291929955129e-17
15	15	Utsav bhattarai	1	0.434782608695652	3.64291929955129e-17
16	16	Bilal Mirza	1	0.434782608695652	3.64291929955129e-17
17	17	Sudhanshu Tripathi	1	0.434782608695652	3.64291929955129e-17
18	18	Ho Yin	1	0.434782608695652	3.64291929955129e-17
19	19	ItsAmziii	1	0.434782608695652	3.64291929955129e-17
NA	NA	NA	NA	NA	NA
