ID	Name	numcommits	percent	norm
6	6	treeform	20	45.4545454545455	1
5	5	daveey	8	18.1818181818182	0.368421052631579
2	2	monofuel	6	13.6363636363636	0.263157894736842
3	3	noahfarr	6	13.6363636363636	0.263157894736842
4	4	nishu-builder	2	4.54545454545455	0.0526315789473685
1	1	GitHub	1	2.27272727272727	5.55111512312578e-17
7	7	Andre von Houck	1	2.27272727272727	5.55111512312578e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
NA.12	NA	NA	NA	NA	NA
