ID	Name	total	percent	norm
5	5	daveey	5174	66.096065406234	1
3	3	noahfarr	978	12.4936126724578	0.186506397828616
6	6	treeform	828	10.5774144098109	0.15742535866615
2	2	monofuel	676	8.6356668369954	0.127956572314851
1	1	GitHub	78	0.996423096576392	0.0120201628538193
7	7	Andre von Houck	78	0.996423096576392	0.0120201628538193
4	4	nishu-builder	16	0.204394481349004	-5.33427468862868e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
NA.12	NA	NA	NA	NA	NA
