ID	Name	numcommits	percent	norm
7	7	daveey	56	25.9259259259259	1
4	4	relh	30	13.8888888888889	0.518518518518519
8	8	treeform	28	12.962962962963	0.481481481481482
2	2	GitHub	22	10.1851851851852	0.37037037037037
3	3	monofuel	18	8.33333333333333	0.296296296296296
1	1	Richard Higgins	13	6.01851851851852	0.203703703703704
5	5	noahfarr	12	5.55555555555556	0.185185185185185
10	10	msyvr	12	5.55555555555556	0.185185185185185
12	12	subho406	10	4.62962962962963	0.148148148148148
6	6	Nishad	5	2.31481481481481	0.0555555555555556
9	9	David Bloomin	4	1.85185185185185	0.0370370370370371
11	11	sasmith	2	0.925925925925926	5.55111512312578e-17
13	13	Akkikens	2	0.925925925925926	5.55111512312578e-17
14	14	guzba	2	0.925925925925926	5.55111512312578e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
