ID	Name	total	percent	norm
2	2	GitHub	64217	33.7281245404315	1
9	9	David Bloomin	61033	32.0558205004307	0.950415024994939
7	7	daveey	45626	23.963738734007	0.710479186457571
4	4	relh	7220	3.79209647261497	0.112375998629561
1	1	Richard Higgins	3009	1.58039034433496	0.0467973774780807
8	8	treeform	2936	1.54204920271434	0.04566053602853
10	10	msyvr	2802	1.47166957289019	0.0435737311759301
5	5	noahfarr	1900	0.997920124372361	0.029526731347235
12	12	subho406	862	0.452740603794197	0.0133617803248563
3	3	monofuel	368	0.193281371457384	0.00566863407721177
11	11	sasmith	176	0.0924389167839661	0.00267858533318797
6	6	Nishad	175	0.0919136956658753	0.00266301216264618
13	13	Akkikens	68	0.0357150360301687	0.000996682914674586
14	14	guzba	4	0.00210088447236286	-1.30104260698261e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
