99834284	99834285	99834286	99834287	99834288	99834289	99834290	99834291	99834292	99834293	99834294	99834295	99834296	99834297	99834298	99834299	99834300	99834301	99834302	99834303	99834304	99834305	99834306	99834307	99834308	99834309	99834310	99834311	99834312	99834313	99834314	99834315	99834316	99834317	99834318	99834319	99834320	99834321	99834322
File_Level	None	autolog	File_Level	None	None	File_Level	None	File_Level	save_model	autolog	None	None	spark_udf	None	None	make_genai_metric	File_Level	test_log_batch_internal_error	None	None	File_Level	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	test_create_model_version_with_langchain_dependencies	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
File_Level	None	_init_databricks_cli_config_provider	None	None	None	File_Level	None	File_Level	None	None	None	None	get_config_for_profile	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	File_Level	None	None	None
test_df_hashing_with_dicts	None	File_Level	autolog	None	None	File_Level	None	File_Level	_hash_ndarray_as_bytes	None	None	None	autolog	None	None	None	_hash_array_like_obj_as_bytes	None	_search_model_versions	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	File_Level
File_Level	None	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
autolog	None	_setup_callbacks	autolog	None	None	autolog	File_Level	File_Level	File_Level	autolog	None	None	save_model	None	None	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
File_Level	None	File_Level	File_Level	None	None	File_Level	None	test_chat_model_with_context_saves_successfully	File_Level	None	None	None	save_model	None	File_Level	save_model	None	None	None	File_Level	File_Level	None	None	None	None	None	None	None	None	None	None	None	File_Level	None	None	None	None	None
File_Level	None	None	_install_pyfunc_deps	None	None	File_Level	None	File_Level	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	test_model_config_is_not_mutated_after_prediction	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	test_uc_models_artifact_repo_with_stage_uri_raises	None	None	None	None	None	None	None	None	None	None	get_latest_versions	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
autolog	None	autolog	autolog	None	None	log_param	None	_save_model_with_class_artifacts_params	evaluate	None	None	_parse_abfss_uri	format_docstring	None	save_model	evaluate	None	None	None	predict	None	None	None	None	None	None	None	get_app_client	None	None	None	None	None	_get_args_for_metrics	create_model_version	None	None	None
test_input_source_truncation	None	None	None	None	None	None	None	_get_lineage_input_sources	File_Level	None	None	None	create_model_version	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	File_Level	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	save_model	File_Level	None	None	None	make_metric	None	None	make_metric	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	_get_args_for_metrics	None	None	None	None
File_Level	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
test_log_batch_params_max_length_value	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	test_search_runs_datasets	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	File_Level	None	None	None	None	_graphql	None	None	None	None	get_endpoints	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
_enforce_pyspark_dataframe_schema	None	None	_enforce_schema	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
File_Level	None	None	None	None	None	File_Level	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
_validate_static_prefix	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
save_model	None	None	None	None	None	None	None	None	save_model	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	postprocess_output_for_llm_inference_task	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	load_model	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
