ID	Name	total	percent	norm
2	2	GitHub	77984	49.9187054320134	1
9	9	Daniel Lok	23987	15.3544315141273	0.307588736151005
14	14	Michael Berk	17726	11.3466733238596	0.227303036520312
10	10	Yuki Watanabe	9062	5.80071948893242	0.11620332375872
1	1	Harutaka Kawamura	5592	3.57952145024388	0.0717070168239639
4	4	Serena Ruan	5350	3.42461369077339	0.068603816167419
7	7	Chen Qian	2773	1.77503808682516	0.0355585761181781
19	19	TomuHirata	2321	1.48570623855795	0.0297625153877718
3	3	WeichenXu	2196	1.40569189998848	0.0281596224866639
20	20	Edward Feng	1838	1.17653083432551	0.0235689372178908
34	34	Ying Chen	1165	0.745733635467476	0.0149389618383258
17	17	Ann Zhang	918	0.5876253024542	0.0117716454657366
6	6	Gabriel Fu	695	0.444879722446262	0.00891208453016003
11	11	Ben Wilson	666	0.426316395898145	0.008540213377103
25	25	Ngo Minh Thang Nguyen	638	0.408393184058583	0.00818116536725482
18	18	Liang Zhang	625	0.400071692847358	0.0080144645055396
36	36	Victor Sun	579	0.370626416253793	0.00742459991793188
15	15	Kris Concepcion	536	0.343101483785894	0.00687320475995076
21	21	Ernest Wong	535	0.342461369077339	0.0068603816167419
8	8	mlflow-automation	313	0.200355903777957	0.00401364382437423
