99834284	99834285	99834286	99834287	99834290	99834291	99834292	99834293	99834294	99834296	99834300	99834303	99834318	99834320	99834322	99834327	99834330	99834331	99834338	99834340	99834341	99834342	99834343	99834344	99834345	99834346	99834347	99834348	99834349	99834350	99834351	99834352
start_span	None	None	File_Level	None	None	test_start_and_end_trace	delete_traces	File_Level	None	predict	None	_start_span	File_Level	File_Level	search_traces	None	None	None	None	File_Level	None	None	File_Level	None	None	None	None	None	test_to_proto	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
File_Level	None	_save_model_with_class_artifacts_params	test_simple_chat_model_stream_inference	File_Level	None	File_Level	None	File_Level	None	_save_model_with_class_artifacts_params	None	test_streamable_model_save_load	None	None	File_Level	None	None	File_Level	None	None	None	None	None	None	_validate_model_code_from_notebook	load_model	None	None	None	None	None
_log_optional_artifacts	None	None	test_agent_success	None	None	test_search_traces_with_filestore	None	File_Level	None	_save_internal_runnables	None	test_langchain_model_save_load_with_listeners	File_Level	test_tracer_does_not_add_spans_to_trace_after_root_run_has_finished	test_store_trace_span_tag_when_not_dict_input_outputs	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None
File_Level	None	None	File_Level	None	None	File_Level	None	File_Level	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	test_log_trace_with_databricks_tracking_uri	None	None	test_on_start_during_run	None	File_Level	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
File_Level	None	File_Level	delete_traces	None	None	None	log	delete_traces	None	save_model	None	log	log	None	None	None	None	None	None	None	None	None	None	None	None	save_model	None	None	None	None	None
File_Level	None	_capture_imported_modules	File_Level	None	None	None	None	File_Level	None	_get_supported_llms	None	File_Level	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	File_Level	None	_hash_array_like_obj_as_bytes	None	None	_normalize_evaluators_and_evaluator_config_args
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
File_Level	None	_validate_model_code_from_notebook	save_model	None	None	None	None	None	None	_validate_and_get_model_code_path	None	_validate_model_code_from_notebook	None	None	None	None	None	None	None	None	None	None	None	None	test_model_code_validation	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
File_Level	None	save_model	_update_dependencies_schema_in_prediction_context	None	None	None	log	File_Level	None	test_model_log_with_resources	None	File_Level	log	_start_span	None	None	test_create_model_version_with_langchain_dependencies	File_Level	None	None	None	None	None	None	test_model_code_validation	File_Level	None	None	None	None	None
None	None	None	None	None	None	None	log	File_Level	None	log	None	log	convert_dataclass_to_schema	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	__init__	None	None	None	None	None	None	None	None	None	None	None
search_traces	None	None	File_Level	log_image	None	File_Level	File_Level	search_traces	None	None	None	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	test_refresh_credentials	None	None	None	None	None	None	None	None	None	None	None	None	None	test_registered_model_search_from_uc_proto	None	None	None	None	None	_multipart_upload	None	None	_get_artifact_repo	None	None	None	None	None
File_Level	None	None	None	None	None	None	None	None	None	File_Level	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	make_genai_metric_from_prompt	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	test_model_code_validation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	File_Level	None	None	None	None	None	None	None	load_model	None	None	None	None	None	None	File_Level	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
