ID	Name	numcommits	percent	norm
2	2	GitHub	172	50	1
1	1	Harutaka Kawamura	31	9.01162790697674	0.175438596491228
9	9	Ben Wilson	20	5.81395348837209	0.111111111111111
13	13	Sunish Sheth	20	5.81395348837209	0.111111111111111
4	4	Serena Ruan	19	5.52325581395349	0.105263157894737
11	11	Ann Zhang	10	2.90697674418605	0.0526315789473685
7	7	Daniel Lok	9	2.61627906976744	0.0467836257309942
6	6	mlflow-automation	8	2.32558139534884	0.0409356725146199
8	8	Yuki Watanabe	8	2.32558139534884	0.0409356725146199
3	3	WeichenXu	7	2.03488372093023	0.0350877192982457
12	12	Edward Feng	5	1.45348837209302	0.0233918128654971
15	15	Corey Zumar	4	1.16279069767442	0.0175438596491229
18	18	Arthur Jenoudet	4	1.16279069767442	0.0175438596491229
5	5	Chen Qian	3	0.872093023255814	0.0116959064327486
14	14	Prithvi Kannan	3	0.872093023255814	0.0116959064327486
16	16	Jesse Chan	3	0.872093023255814	0.0116959064327486
21	21	Apurva Koti	3	0.872093023255814	0.0116959064327486
10	10	Siddharth Murching	1	0.290697674418605	5.55111512312578e-17
17	17	Michael Li	1	0.290697674418605	5.55111512312578e-17
19	19	Mahmoud Lababidi	1	0.290697674418605	5.55111512312578e-17
