"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"v9.1.4-v9.2.0","2025-11 -- 2025-11",3,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"v9.2.0-v9.2.1","2025-11 -- 2025-11",5,2,3,0,0.4,0.6,0,0,0,0,0,2,1,1,0,0,0,2,0,0,1,1,0.25,0.3333,0,0,0,0,0.4,0.8,0.5,1,0.0875,0,0.15,-0.5,-0.5,0,0.1,1,0,0,1,0,0
"v9.2.1-v9.2.2","2025-11 -- 2025-11",3,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"v9.2.2-v9.3.0","2025-11 -- 2025-11",7,4,3,0,0.5714,0.4286,0,1,0.1429,0,0,3,4,3,1,1,0,0,0,1,0,0.3333,0.2,0.3333,0,0,0,0,0.2857,0.4286,0.25,0.6667,0.0087,0,0.0238,0.34,0.5,-0.5,0.1429,3,1,0,0.75,0.25,0
"v9.3.0-v9.3.1","2025-11 -- 2025-11",3,0,3,0,0,1,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.8,0,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"v9.3.1-v9.4.0","2025-11 -- 2025-11",3,0,3,0,0,1,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"v9.4.0-v9.4.1","2025-11 -- 2025-11",7,4,3,0,0.5714,0.4286,0,1,0.1429,0,0,3,2,2,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0.5714,0.7143,0.5,1,0.1252,0.0278,0.2619,-0.3449,-0.3449,0,0.2381,2,0,0,1,0,0
"v9.4.1-v9.4.2","2025-11 -- 2025-12",10,7,3,0,0.7,0.3,0,1,0.1,0,0,7,6,4,1,1,0,2,0,1,0,0.3333,0.3529,0,0.5,0.6667,0,1,0.4,0.4,0.4286,0.6667,0.1381,0.3735,0.4,0.2996,0.1088,-0.5,0.1556,4,1,0,0.8,0.2,0
"v9.4.2-v9.5.0","2025-12 -- 2025-12",7,4,3,0,0.5714,0.4286,0,0,0,0,0,5,2,2,0,0,0,4,0,0,1,1,0.5882,0,1,0.6667,2,0,0.5714,0.7143,0.5,1,0.1322,0.1333,0.3095,-0.3299,-0.3299,0,0.1905,2,0,0,1,0,0
"v9.5.0-v9.6.0","2025-12 -- 2025-12",7,4,3,0,0.5714,0.4286,0,0,0,0,0,2,2,2,0,0,0,4,0,0,1,1,0.7143,0.3333,1,1,0,0.8,0.5714,0.7143,0.5,1,0.1322,0.1333,0.3095,-0.2812,-0.2812,0,0.1905,2,0,0,1,0,0
"v9.6.0-v9.7.0","2025-12 -- 2025-12",3,0,3,0,0,1,0,2,0.6667,0,0,2,0,0,0,0,0,0,0,0,0,0,0.8,0,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"v9.7.0-v9.8.0","2025-12 -- 2025-12",5,2,3,0,0.4,0.6,0,2,0.4,0,0,2,1,1,0,0,0,2,0,0,1,1,0.25,0.3333,0,0,0,0,0.4,0.8,0.5,1,0.0875,0,0.15,-0.5,-0.5,0,0.1,1,0,0,1,0,0
"v9.8.0-v9.8.1","2025-12 -- 2025-12",5,2,3,0,0.4,0.6,0,2,0.4,0,0,2,1,1,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0.4,0.8,0.5,1,0.0875,0,0.15,-0.5,-0.5,0,0.1,1,0,0,1,0,0
"v9.8.1-v9.8.2","2025-12 -- 2025-12",7,3,4,0,0.4286,0.5714,0,4,0.5714,1,0.25,4,3,2,1,1,0,3,0,1,0,0.5,0.1667,0.2857,0,0,0,0,0.7143,0.5714,0.3333,0.75,0.0663,0,0.1429,0.3029,-0.3438,-0.5,0.1905,2,1,0,0.6667,0.3333,0
