ID	Name	numcommits	percent	norm
1	1	hand-dot	234	38.6138613861386	1
2	2	GitHub	192	31.6831683168317	0.819742489270386
5	5	dependabotbot	95	15.6765676567657	0.40343347639485
4	4	devin-ai-integrationbot	54	8.91089108910891	0.227467811158798
3	3	Peter Ward	10	1.65016501650165	0.03862660944206
6	6	Yasuyuki Komatsubara	5	0.825082508250825	0.0171673819742488
7	7	Zin Kyaw Kyaw (AJ)	3	0.495049504950495	0.00858369098712438
10	10	TNBO/Eedge	3	0.495049504950495	0.00858369098712438
9	9	hitomi-t260g	2	0.33003300330033	0.00429184549356215
13	13	Tyler Barker	2	0.33003300330033	0.00429184549356215
14	14	Kyohei Fukuda	2	0.33003300330033	0.00429184549356215
8	8	Naveen Prashanth	1	0.165016501650165	-8.67361737988404e-17
11	11	Mikko Piuhola	1	0.165016501650165	-8.67361737988404e-17
12	12	roopantj	1	0.165016501650165	-8.67361737988404e-17
15	15	Thomas Schühly	1	0.165016501650165	-8.67361737988404e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
