ID	Name	total	percent	norm
1	1	hand-dot	148996	51.4265202294582	1
2	2	GitHub	70361	24.2853592704831	0.472205815233442
4	4	dependabotbot	59837	20.6529617638735	0.401569253899643
6	6	Kyohei Fukuda	8914	3.07670005453428	0.0597766263054744
3	3	Peter Ward	749	0.258520119008995	0.00497355491717463
5	5	TNBO/Eedge	653	0.225385364102635	0.00432920772142732
9	9	RobH	160	0.0552245915105997	0.00102021639326666
7	7	Roman Afanasyev	28	0.00966430351435494	0.000134238999114111
8	8	ryoppippi	20	0.00690307393882496	8.05433994685024e-05
10	10	Mowmowj	8	0.00276122957552998	8.88639205623432e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
