ID	Name	total	percent	norm
2	2	GitHub	455	50	1
1	1	XuanYang-cn	200	21.978021978022	0.434589800443459
6	6	jaime	177	19.4505494505495	0.383592017738359
3	3	wei liu	70	7.69230769230769	0.146341463414634
4	4	aoiasd	4	0.43956043956044	7.28583859910259e-17
5	5	Jiquan Long	4	0.43956043956044	7.28583859910259e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
NA.12	NA	NA	NA	NA	NA
NA.13	NA	NA	NA	NA	NA
