ID	Name	numcommits	percent	norm
2	2	GitHub	36	50	1
1	1	XuanYang-cn	9	12.5	0.228571428571429
3	3	Jiquan Long	7	9.72222222222222	0.171428571428572
6	6	cai.zhang	5	6.94444444444444	0.114285714285714
7	7	xige-16	4	5.55555555555556	0.0857142857142858
8	8	yah01	3	4.16666666666667	0.0571428571428572
9	9	zhenshan.cao	3	4.16666666666667	0.0571428571428572
4	4	jaime	2	2.77777777777778	0.0285714285714287
5	5	yihao.dai	2	2.77777777777778	0.0285714285714287
10	10	Gao	1	1.38888888888889	1.00613961606655e-16
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
