"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"v2.2.0-v2.2.1","2022-11 -- 2022-12",7,5,1,1,0.7143,0.1429,0.1429,0,0,0,0,2,3,3,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0.8571,0.5714,0.5,1,0.2416,0.25,0.3333,-0.3097,-0.3097,0,0.3333,3,0,0,1,0,0
"v2.2.1-v2.2.2","2022-12 -- 2023-02",18,13,4,1,0.7222,0.2222,0.0556,0,0,0,0,2,10,9,2,5,0,0,0,5,0,0.2,0.16,0,0,0,0,1,0.2222,0.4444,0.3571,0.6,0.0704,0.2928,0.3007,0.0335,0.2341,-0.3446,0.1111,9,2,0,0.8182,0.1818,0
"v2.2.2-v2.2.3","2023-02 -- 2023-03",20,14,5,1,0.7,0.25,0.05,1,0.05,0,0,2,10,9,1,1,0,0,0,1,0,0.6667,0.5789,0.3636,0.7,0.6667,1.3333,0.1818,0.1,0.5,0.4,0.8333,0.0744,0.397,0.5211,0.1529,0.3002,-0.5,0.1105,8,0,1,0.8889,0,0.1111
"v2.2.3-v2.2.4","2023-03 -- 2023-03",14,11,2,1,0.7857,0.1429,0.0714,0,0,0,0,2,7,7,0,0,0,0,0,0,1,1,0.7647,0.8889,0.7059,0.625,2,0.0769,0,0.5,0.4167,1,0.0551,0.1036,0.2418,0.5092,0.5092,0,0.1429,7,0,0,1,0,0
"v2.2.4-v2.2.5","2023-03 -- 2023-04",5,3,1,1,0.6,0.2,0.2,0,0,0,0,2,2,2,0,0,0,4,0,0,1,1,1.0526,0.4,1.3333,1.3333,0,0,0.8,0.6,0.5,1,0.2981,0.3333,0.35,-0.3163,-0.3163,0,0.4,2,0,0,1,0,0
"v2.2.5-v2.2.6","2023-04 -- 2023-04",6,3,2,1,0.5,0.3333,0.1667,1,0.1667,0,0,2,2,2,0,0,0,4,0,0,1,1,0.3636,0,0.5,0.5,0,1,0.6667,0.6667,0.5,1,0.1864,0.2,0.3333,-0.3148,-0.3148,0,0.2667,2,0,0,1,0,0
"v2.2.6-v2.2.7","2023-04 -- 2023-04",9,5,4,0,0.5556,0.4444,0,0,0,0,0,2,3,3,0,0,0,0,0,0,1,1,0.1333,0.2857,0,0,0,1,0,0.6667,0.4,1,0.1029,0.1071,0.3056,0.1248,0.1248,0,0.1944,3,0,0,1,0,0
"v2.2.7-v2.2.8","2023-04 -- 2023-04",14,10,3,1,0.7143,0.2143,0.0714,0,0,0,0,2,5,5,1,1,0,4,0,1,0,0.5,0.3478,0.5,0.25,0.25,0,0,0.3571,0.6429,0.5455,0.75,0.0961,0.1884,0.3297,0.251,0.2368,-0.5,0.2088,4,0,1,0.8,0,0.2
"v2.2.8-v2.2.9","2023-04 -- 2023-06",28,18,7,3,0.6429,0.25,0.1071,0,0,0,0,2,13,10,5,18,0,0,0,18,0.0526,0.3211,0.1905,0.1429,0,0,0,0.5,0.3214,0.5357,0.5238,0.5,0.0354,0.1687,0.3783,0.2421,0.2837,0.1492,0.1402,9,4,1,0.6429,0.2857,0.0714
"v2.2.9-v2.2.10","2023-06 -- 2023-06",11,9,2,0,0.8182,0.1818,0,0,0,0,0,2,6,6,0,0,0,0,0,0,1,1,0.9744,1.3333,1.0526,0.875,2,0.3684,0,0.4545,0.3333,1,0.0344,0.01,0.1364,0.6056,0.6056,0,0.1636,6,0,0,1,0,0
