ID	Name	numcommits	percent	norm
3	3	Reuven	136	53.125	1
1	1	rUv	78	30.46875	0.57037037037037
2	2	GitHub	31	12.109375	0.222222222222222
7	7	Ryanba	3	1.171875	0.0148148148148149
4	4	Eric Swann	2	0.78125	0.00740740740740751
5	5	Hanan Basheer	2	0.78125	0.00740740740740751
6	6	Sense_wang	1	0.390625	1.00613961606655e-16
8	8	Tima	1	0.390625	1.00613961606655e-16
9	9	Dragan Spiridonov	1	0.390625	1.00613961606655e-16
10	10	Stable Genius	1	0.390625	1.00613961606655e-16
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
