ID	Name	total	percent	norm
3	3	Reuven	139002	62.4004525090008	1
1	1	rUv	62757	28.172725558678	0.451466927581692
2	2	GitHub	19052	8.55277924923011	0.137037942991985
9	9	Dragan Spiridonov	1535	0.689088607367637	0.0110145469718988
4	4	Eric Swann	174	0.0781116727569829	0.0012230391804198
5	5	Hanan Basheer	88	0.0395047540380143	0.000604325242089754
7	7	Ryanba	69	0.0309753185070794	0.000467632627807534
6	6	Sense_wang	54	0.0242415536142361	0.000359717406005781
10	10	Stable Genius	23	0.0103251061690265	0.000136692614282159
8	8	Tima	4	0.00179567063809156	-6.05628557286825e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
