ID	Name	numcommits	percent	norm
2	2	GitHub	80	22.9885057471264	1
6	6	Nico Arqueros	78	22.4137931034483	0.974358974358974
1	1	Alfredo Gallardo	73	20.9770114942529	0.91025641025641
3	3	paulclindo	72	20.6896551724138	0.897435897435898
4	4	Paul Ccari	37	10.632183908046	0.448717948717949
5	5	Nico	6	1.72413793103448	0.0512820512820514
7	7	benolt	2	0.574712643678161	9.0205620750794e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
NA.12	NA	NA	NA	NA	NA
