ID	Name	total	percent	norm
2	2	GitHub	5891095	49.4576951692087	1
4	4	Paul Ccari	2951995	24.7829764841729	0.501088859009182
9	9	Eduardo Soto	2878948	24.1697227072392	0.488689157700633
1	1	Alfredo Gallardo	144203	1.21063198208235	0.0244672025888856
3	3	paulclindo	16624	0.139563990139851	0.00281071439302031
6	6	Nico Arqueros	14203	0.119238892682646	0.00239975053594203
8	8	devin-ai-integrationbot	10380	0.0871435405228377	0.00175079769595431
5	5	Nico	2241	0.0188139377949595	0.000369205447808872
7	7	Guillermo Valin	1430	0.0120053239833967	0.000231538496924739
10	10	Eddie	110	0.000923486460261286	7.4689837717742e-06
12	12	Bence Oltean	87	0.000730393836752108	3.56474225471496e-06
11	11	Edward Alvarado	66	0.000554091876156772	8.69225210472363e-18
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
