"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"v1.1-v1.2","2018-03 -- 2018-05",2,0,2,0,0,1,0,1,0.5,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0.5,0,0.5,NA,NA,0,-0.5,0,-0.5,1,0,1,0,0,1,0
"v1.2-v1.3","2018-05 -- 2018-07",5,2,2,1,0.4,0.4,0.2,1,0.2,0,0,7,3,2,1,1,0,3,0,1,0,0.3333,0,0,0.5,0,0,0,1,0.4,0.3333,0.6667,0.1271,0.1667,0.2,0.3599,-0.375,-0.5,0.3,2,1,0,0.6667,0.3333,0
"v1.3-v1.4","2018-07 -- 2018-11",5,2,2,1,0.4,0.4,0.2,0,0,0,0,7,3,2,2,2,0,3,1,2,0,0,0.4,0.3333,0.3333,0.5,0,1,1,0.4,0.3333,0.3333,0.4222,0.4167,0.1,0.0205,-0.38,-0.3756,0.4,1,1,1,0.3333,0.3333,0.3333
"v1.4-v1.5","2018-11 -- 2019-02",3,2,1,0,0.6667,0.3333,0,0,0,0,0,2,1,1,0,0,0,2,0,0,1,1,0.75,1,1,0.6667,2,1,0.6667,0.6667,0.5,1,0.25,0,0.1667,-0.5,-0.5,0,0.3333,1,0,0,1,0,0
"v1.5-v1.6.0","2019-02 -- 2019-08",3,2,1,0,0.6667,0.3333,0,0,0,0,0,3,1,1,0,0,0,2,0,0,1,1,0.3333,0,1,1,0,1,0.6667,0.6667,0.5,1,0.25,0,0.1667,-0.5,-0.5,0,0.3333,1,0,0,1,0,0
"v1.6.0-v1.7","2019-08 -- 2019-12",2,0,2,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.8,0,2,2,0,1,0,1,0,1,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA
"v1.7-v1.8","2019-12 -- 2020-04",5,2,3,0,0.4,0.6,0,0,0,0,0,5,3,1,2,3,0,2,0,3,0,0,0,0,0,0,0,0,1,0.4,0.5,0.3333,0.0972,0,0.1,0.0433,-0.5,-0.4285,0.4,1,2,0,0.3333,0.6667,0
"v1.8-v1.9.0","2020-04 -- 2020-08",6,3,3,0,0.5,0.5,0,0,0,0,0,6,4,2,2,3,0,3,0,3,0,0,0.1818,0.3333,0.5714,0,0.5,1,1,0.3333,0.3333,0.3333,0,0,0,0.0196,-0.4683,-0.3954,0.4,2,2,0,0.5,0.5,0
"v1.9.0-v2.0.0","2020-08 -- 2020-12",6,3,2,1,0.5,0.3333,0.1667,0,0,0,0,9,4,3,2,3,0,4,0,3,0,0,0.3333,0.3333,0.5,0.4,0.5,1,1,0.3333,0.25,0.3333,0.7232,0.6,0.4,0.0157,-0.3484,-0.389,0.6,3,2,0,0.6,0.4,0
"v2.0.0-v2.1.0","2020-12 -- 2021-03",5,2,2,1,0.4,0.4,0.2,0,0,0,0,6,3,2,2,2,0,3,0,2,0,0,0.3636,0,0.5714,0.4,0,1,1,0.4,0.3333,0.3333,0.4222,0.4167,0.1,0.0138,-0.375,-0.4982,0.4,2,2,0,0.5,0.5,0
"v2.1.0-v2.2.0","2021-03 -- 2021-07",5,2,2,1,0.4,0.4,0.2,0,0,0,0,7,3,2,2,3,0,3,0,3,0,0,0.2,0,0.3333,0.5,0,1,1,0.4,0.3333,0.3333,0.7778,0.6667,0.4,0.0091,-0.406,-0.4458,0.6,2,2,0,0.5,0.5,0
"v2.2.0-v2.3.0","2021-07 -- 2021-11",7,4,3,0,0.5714,0.4286,0,1,0.1429,0,0,5,4,2,1,1,0,4,0,1,0,0.3333,0,0,0.2857,0,0.6667,0,0.8571,0.4286,0.5,0.6667,0.1216,0.2,0.3095,0.4915,-0.36,-0.5,0.1905,2,1,0,0.6667,0.3333,0
"v2.3.0-v2.4.0","2021-11 -- 2022-05",5,2,2,1,0.4,0.4,0.2,0,0,0,0,7,3,2,2,2,0,3,0,2,0,0,0.6667,0.3333,0.8571,0.5,0,0.75,1,0.4,0.3333,0.3333,1,1,0.6,-0.431,-0.4062,-0.4335,0.4,1,1,1,0.3333,0.3333,0.3333
"v2.4.0-v2.5.0","2022-05 -- 2022-07",6,2,4,0,0.3333,0.6667,0,2,0.3333,1,0.25,9,3,1,2,2,0,2,0,2,0,0.25,0.1818,0,0.6667,1.3333,0.5,1,0.8333,0.5,0.5,0.5,0.0932,0.1,0.2,0.002,-0.5,-0.4511,0.2,1,2,0,0.3333,0.6667,0
"v2.5.0-v2.6.0","2022-07 -- 2022-09",4,2,2,0,0.5,0.5,0,1,0.25,1,0.5,6,3,1,1,1,0,2,0,1,0,0,0.6,0.6667,0.3333,1,0.6667,0.6667,1,0.25,0.5,0.5,0,0,0,0.0042,-0.5,-0.5,0.3333,1,1,0,0.5,0.5,0
"v2.6.0-v2.7.0","2022-09 -- 2022-12",6,4,2,0,0.6667,0.3333,0,1,0.1667,0,0,7,2,2,0,0,0,4,0,0,1,1,0.2,0,0.8,0,2,1,0.6667,0.6667,0.5,1,0.2029,0.3,0.4,-0.4215,-0.4215,0,0.2,2,0,0,1,0,0
"v2.7.0-v3.0.0","2022-12 -- 2023-10",15,8,5,2,0.5333,0.3333,0.1333,1,0.0667,1,0.1429,12,8,6,2,5,0,3,0,5,0,0.3429,0.381,0.2222,0.2,0.25,0,0.75,0.5333,0.4667,0.4,0.7143,0.2515,0.6735,0.4381,0.0307,0.0102,-0.4858,0.1333,6,2,0,0.75,0.25,0
"v3.0.0-v3.1.0","2023-10 -- 2023-12",3,0,3,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1.5556,1.2,2,2,2,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"v3.1.0-v3.2.0","2023-12 -- 2024-04",4,1,2,1,0.25,0.5,0.25,1,0.25,0,0,10,2,1,2,2,0,2,0,2,0,0,0.5714,0.6667,0,0,0,0,1,0.5,0.5,0.3333,0.4167,0.4444,0.1667,-0.4411,-0.5,-0.4421,0.5,1,2,0,0.3333,0.6667,0
"v3.2.0-v3.4.0","2024-04 -- 2024-07",8,5,2,1,0.625,0.25,0.125,0,0,0,0,5,4,3,2,2,0,2,0,2,0,0,0.3333,0.6667,0.6667,0,0.5,1,0.5,0.5,0.5,0.3333,0.4085,0.5306,0.2857,0.3634,0.1759,-0.4516,0.2857,2,1,1,0.5,0.25,0.25
"v3.4.0-v3.6.0","2024-07 -- 2024-11",7,4,3,0,0.5714,0.4286,0,0,0,0,0,9,4,2,1,1,0,4,0,1,0,0.3333,0.5333,0.6667,0.75,0.8,0.6667,0.5,0.8571,0.4286,0.5,0.6667,0.1216,0.2,0.3095,0.0756,-0.34,-0.5,0.1905,2,1,0,0.6667,0.3333,0
"v3.6.0-v3.8.0","2024-11 -- 2025-01",6,2,4,0,0.3333,0.6667,0,1,0.1667,0,0,6,3,1,1,1,0,2,1,1,0,0.5,0.6154,0.5714,0.5714,1.3333,0,0.75,0.6667,0.5,0.5,0.75,0.03,0,0.0667,0.32,-0.5,-0.5,0.1333,1,1,0,0.5,0.5,0
"v3.8.0-v3.9.0","2025-01 -- 2025-05",7,2,4,1,0.2857,0.5714,0.1429,0,0,0,0,4,4,2,3,7,0,3,0,7,0,0.0857,0.4615,0.4444,0.5714,0.6667,0,0.3333,1,0.4286,0.3333,0.4,0.4709,0.4222,0.2381,0.0391,-0.375,0.0369,0.4286,2,3,0,0.4,0.6,0
"v3.9.0-v3.10.0","2025-05 -- 2025-12",5,0,5,0,0,1,0,1,0.2,0,0,11,2,0,2,0,0,0,0,0,0,0,0.8333,0.6,1,2,0.8,1,0,0.6,0,0.6,0.35,0.5,0.45,-0.3639,0,-0.3639,0.3,0,2,0,0,1,0
"v3.10.0-v4.0.0","2025-12 -- 2026-04",10,3,7,0,0.3,0.7,0,0,0,0,0,10,6,2,4,11,0,3,0,11,0,0.1948,0.4,0.5,0.25,0,0.3333,0,0.9,0.4,0.3333,0.4286,0.0848,0.0494,0.2444,0.002,-0.3811,-0.299,0.3111,2,4,0,0.3333,0.6667,0
